"complaint_text","priority"
"Critical doppelganger active","High"
"Minor delays in sprint creation","Medium"
"Critical disaster recovery failed","High"
"Seldom","Other"
"Background operations occasionally stutter","Medium"
"Let me think","Other"
"I'll be waiting","Other"
"Request to add quick action buttons","Low"
"Down the road","Other"
"Suggestion to add more engagement metrics","Low"
"Catastrophic total system collapse","High"
"File uploads occasionally delay","Medium"
"Moderate delays in transactions","Medium"
"Fabulous","Other"
"Minor latency in responses","Medium"
"Add ability to track regulations","Low"
"Slow rendering of graphs","Medium"
"Request to add roadmap planning","Low"
"Minor delays in loading content","Medium"
"Request to add task management","Low"
"Here we go","Other"
"Total infrastructure breach detected","High"
"Video conferencing tool lags sometimes","Medium"
"Occasional freezes in UI","Medium"
"Total operational catastrophe","High"
"Where do we go from here","Other"
"At least","Other"
"Ready when you are","Other"
"Add option to group items","Low"
"Request to add market research tools","Low"
"Final stretch","Other"
"API calls occasionally fail silently","Medium"
"Rome wasn't built in a day","Other"
"What's new","Other"
"Add option to measure lead time","Low"
"Major absolute critical failure","High"
"Emergency active shooter situation","High"
"In conclusion","Other"
"For the time being","Other"
"Request to add data analytics","Low"
"Critical credit rating destroyed","High"
"Never mind","Other"
"Natural disaster affecting server location","High"
"Moreover","Other"
"Critical service degradation affecting revenue","High"
"Critical hostage situation active","High"
"These things happen","Other"
"Add ability to manage governance","Low"
"Request to add templates","Low"
"Total civilization collapse","High"
"True that","Other"
"Total identity confusion","High"
"Okay so","Other"
"Database query timeout errors","Medium"
"Suggestions","Other"
"Doing better","Other"
"Following that","Other"
"Major lawsuits pending","High"
"Production database corrupted","High"
"Background processes occasionally timeout","Medium"
"Security certificate expired","High"
"Couldn't agree more","Other"
"Request to add undo feature","Low"
"On the plus side","Other"
"Thank you so much","Other"
"Suggestion to add more environment tools","Low"
"Background tasks occasionally stutter","Medium"
"Farewell","Other"
"Add option to monitor metrics","Low"
"Emergency total facility evacuation","High"
"I suppose","Other"
"Lovely to chat","Other"
"Add export to PDF option","Low"
"What's the status","Other"
"Form validation occasionally times out","Medium"
"Add option to manage sprints","Low"
"Earned it","Other"
"Splendid","Other"
"Suggestion to add more dashboards","Low"
"Anything else","Other"
"Appreciate it","Other"
"Critical global catastrophe event","High"
"Background sync occasionally returns null","Medium"
"Five stars","Other"
"Talk to you soon","Other"
"Let's wait and see","Other"
"Request to add kanban boards","Low"
"Request to add regulatory tracking","Low"
"Background tasks occasionally timeout","Medium"
"Request to add logistics tracking","Low"
"Critical arrest warrant active","High"
"Critical enlightenment path blocked","High"
"Background task occasionally stalls","Medium"
"Total universal catastrophic failure","High"
"Critical nuclear option required","High"
"Suggestion to add more auth methods","Low"
"Add option to categorize issues","Low"
"Anything new","Other"
"Request to add experimentation framework","Low"
"Despite that","Other"
"Slow loading of user profiles","Medium"
"I wonder","Other"
"Image thumbnails load slowly","Medium"
"Add ability to rotate credentials","Low"
"Major complete enterprise failure","High"
"I like it","Other"
"Suggestion to add more fields","Low"
"Dashboard updates occasionally fail validation","Medium"
"Suggestion to add more controls","Low"
"Complete catastrophic global collapse","High"
"Gas leakage detected in cafeteria","High"
"Core banking system down","High"
"Request to add sentiment analysis","Low"
"Who knows","Other"
"Request to add restore capabilities","Low"
"Occasional freezes in risk calculations","Medium"
"Going forward","Other"
"API endpoints occasionally time out","Medium"
"Request to add auto-complete","Low"
"Entire network down","High"
"Add ability to configure webhooks","Low"
"Come to think of it","Other"
"Critical black hole forming nearby","High"
"Emergency hurricane approaching facility","High"
"Critical total universal collapse","High"
"Eventually","Other"
"Lucky you","Other"
"Still","Other"
"Server hardware failure critical","High"
"Complete material loss","High"
"Suggestion to add more lifecycle tools","Low"
"Total system collapse imminent","High"
"Add option to manage press contacts","Low"
"Critical system error affecting all users","High"
"Add ability to configure alerts","Low"
"Till then","Other"
"Form processing occasionally fails validation","Medium"
"Slow loading of comparison data","Medium"
"I understand","Other"
"You'll be fine","Other"
"Occasional UI flickering","Medium"
"Request to add breadcrumb navigation","Low"
"Critical catastrophic absolute collapse","High"
"Slow loading of analytics","Medium"
"Add option to validate data","Low"
"API calls occasionally fail authorization","Medium"
"Minor delays in synchronization","Medium"
"What have I missed","Other"
"Now we're talking","Other"
"Monitoring system down","High"
"Background sync delayed","Medium"
"Currently","Other"
"Same old same old","Other"
"File upload progress bar laggy","Medium"
"Add option to collapse sections","Low"
"Mhmm","Other"
"Good for you","Other"
"Add option to set quotas","Low"
"Chart rendering occasionally slow","Medium"
"Minor delays in file operations","Medium"
"Suggestion to add more analytics features","Low"
"Moderate performance degradation","Medium"
"Plus","Other"
"Present situation","Other"
"Hello friend","Other"
"Ready","Other"
"Slow table pagination","Medium"
"Complete business continuity failure","High"
"Critical honor code violated","High"
"Total past alteration","High"
"No doubt","Other"
"Occasional lag in impediment tracking","Medium"
"Move on","Other"
"Request to add blockers tracking","Low"
"Form loading occasionally delays","Medium"
"Don't stress","Other"
"Image upload occasionally fails","Medium"
"Add option to generate API docs","Low"
"Agreed","Other"
"Any word","Other"
"Add batch operation support","Low"
"Add option to customize appearance","Low"
"Emergency total system destruction","High"
"Minor performance dip","Medium"
"Suggestion to add more widgets","Low"
"Slow API call responses","Medium"
"Request to add PR management","Low"
"Total system compromise detected","High"
"Major total system breakdown","High"
"Occasionally","Other"
"Almost there","Other"
"Major absolute system collapse","High"
"Hold on","Other"
"Request to add influencer tracking","Low"
"Critical fabric of space-time tearing","High"
"Top marks","Other"
"Major impersonation successful","High"
"Add option to create templates","Low"
"Be right there","Other"
"Minor freezes in form interactions","Medium"
"Emergency universal absolute failure","High"
"To sum up","Other"
"Super excited","Other"
"Minor UI rendering issues","Medium"
"Critical complete data loss","High"
"API endpoints occasionally lag","Medium"
"Critical logs missing after update","High"
"Meanwhile","Other"
"File download occasionally stalls","Medium"
"Dashboard updates occasionally empty","Medium"
"Your thoughts","Other"
"Request to add drag and drop","Low"
"Critical emergency evacuation needed","High"
"Once in a while","Other"
"Oh well","Other"
"Major critical services offline","High"
"Complete temporal elimination","High"
"Major universal system emergency","High"
"Moderate lag in processing","Medium"
"Background operations occasionally fail","Medium"
"Yep","Other"
"Total complete system failure","High"
"Search indexing slow","Medium"
"Critical complete absolute collapse","High"
"Request to add compliance reporting","Low"
"Add ability to set targets","Low"
"Thanks for the chat","Other"
"Background process occasionally hangs","Medium"
"Critical paradox detected","High"
"Temporary system slowdown","Medium"
"What else","Other"
"Occasional lag in access checks","Medium"
"All the same","Other"
"Add option to configure dashboards","Low"
"Request to add deprovisioning rules","Low"
"Add option to schedule migrations","Low"
"Occasional freezes in modal dialogs","Medium"
"Encouraging","Other"
"Critical emergency situation developing","High"
"Request to add resource scheduling","Low"
"Don't give up","Other"
"Emergency global total collapse","High"
"Slow loading of auth data","Medium"
"Form submissions occasionally corrupt","Medium"
"Image loading occasionally slow","Medium"
"Solve it yet","Other"
"What's the story","Other"
"Minor stuttering in change logs","Medium"
"Minor lag in notification updates","Medium"
"Form fields occasionally freeze","Medium"
"Complete absolute catastrophic failure","High"
"Okay","Other"
"Suggestion to add more chart types","Low"
"Add ability to monitor ratings","Low"
"Request to add auto-save","Low"
"Suggestion for better icons","Low"
"Typically","Other"
"Request to add OAuth support","Low"
"You deserve it","Other"
"There you go","Other"
"Add option to configure auth providers","Low"
"Emergency total facility failure","High"
"Dashboard rendering occasionally fails auth","Medium"
"Critical global system emergency","High"
"Generally","Other"
"Request to add performance tracking","Low"
"Suggestion to add more metrics","Low"
"Much love","Other"
"Is that so","Other"
"Add option to track user behavior","Low"
"How wonderful","Other"
"Critical total facility destruction","High"
"Be in touch","Other"
"Good plan","Other"
"Critical complete operational loss","High"
"Add option to manage roles","Low"
"Critical dharma wheel stopped","High"
"Moderate lag in updates","Medium"
"Just checking in","Other"
"Occasional UI stuttering","Medium"
"API calls occasionally slow","Medium"
"With love","Other"
"That's better","Other"
"Critical hardware failure imminent","High"
"Emergency complete shutdown needed now","High"
"Add ability to measure ROI","Low"
"Add option to set reminders","Low"
"Emergency flood waters rising","High"
"Minor delays in page rendering","Medium"
"Emergency universal total failure","High"
"Respectfully","Other"
"Not usually","Other"
"Well done","Other"
"Subsequently","Other"
"Take care","Other"
"Major catastrophic absolute failure","High"
"Add ability to verify backups","Low"
"Request to add snapshot management","Low"
"Bright side","Other"
"Video playback buffers sometimes","Medium"
"Getting anywhere","Other"
"Service outage affecting customers","High"
"Major trustworthiness eliminated","High"
"Power failure affecting entire floor","High"
"Suggestion to add more migration features","Low"
"Suggestion to add more tracking features","Low"
"Suggestion to add more social tools","Low"
"One sec","Other"
"Add option to track milestones","Low"
"Background process occasionally delays","Medium"
"Request to add backlog management","Low"
"Occasional lag in throughput calculations","Medium"
"Slow API endpoint responses","Medium"
"Now what","Other"
"Slow loading of environment data","Medium"
"Dashboard widgets occasionally time out","Medium"
"Request to add selection tools","Low"
"Suggestion to improve navigation menu","Low"
"How thoughtful","Other"
"Please improve help documentation","Low"
"Suggestion to add more security tools","Low"
"Request to add issue tracking","Low"
"Minor sync delays","Medium"
"Add ability to show online status","Low"
"Request to add mobile view toggle","Low"
"Additionally","Other"
"What's your opinion","Other"
"Need help updating email address","Low"
"Major complete business shutdown","High"
"Amazing","Other"
"Add user activity log","Low"
"Critical network intrusion detected","High"
"Let's begin","Other"
"Emergency complete absolute collapse","High"
"One day","Other"
"Occasional delays in API responses","Medium"
"Will do","Other"
"Add ability to share links","Low"
"Critical history rewrite detected","High"
"Critical patch deployment failed","High"
"Request to add time tracking","Low"
"Critical global universal failure","High"
"Occasional delays in media loading","Medium"
"Electric short circuit near server room","High"
"Ancient history","Other"
"Request to add team collaboration","Low"
"Terrific","Other"
"Application response time is slow","Medium"
"Major universal absolute failure","High"
"Request to add risk scoring","Low"
"Suggestion to add more customization","Low"
"Still waiting","Other"
"I'm game","Other"
"Total critical global collapse","High"
"Minor delays in data transfer","Medium"
"Also","Other"
"Major cosmic balance destroyed","High"
"Dashboard updates occasionally error","Medium"
"Don't sweat it","Other"
"Critical license server down","High"
"Dashboard updates occasionally delay","Medium"
"API responses occasionally empty","Medium"
"Background sync occasionally laggy","Medium"
"Precisely","Other"
"Add ability to manage releases","Low"
"Intermittently","Other"
"Delayed webhook notifications","Medium"
"Request to add competitive analysis","Low"
"Add option to schedule tasks","Low"
"Have a great day","Other"
"Background sync occasionally times out","Medium"
"Occasional lag in API pagination","Medium"
"Next time","Other"
"Request to add SSO integration","Low"
"Periodic lag in responses","Medium"
"Add ability to manage deliveries","Low"
"Add option to model scenarios","Low"
"Complete record elimination","High"
"How nice","Other"
"Major parallel timeline merge","High"
"Never thought of that","Other"
"Complete infrastructure destroyed","High"
"So excited","Other"
"Good to go","Other"
"Add option to track conversions","Low"
"You have my vote","Other"
"Request to add SMS integration","Low"
"Form processing occasionally returns empty","Medium"
"Occasional lag in UI updates","Medium"
"Reports take too long to generate","Medium"
"Critical meridian system shutdown","High"
"Occasional lag in bulk operations","Medium"
"Slow loading of audit logs","Medium"
"Complete moral bankruptcy","High"
"Connection occasionally drops","Medium"
"It's all good","Other"
"Slow transition animations","Medium"
"Slow page rendering","Medium"
"In essence","Other"
"In progress","Other"
"Take it easy","Other"
"Good question","Other"
"Emergency alternate reality collision","High"
"Good point","Other"
"Request to add email integration","Low"
"Major universe ending detected","High"
"Emergency catastrophic total collapse","High"
"Total operational catastrophe occurring","High"
"Critical complete network failure","High"
"Search indexing lag","Medium"
"Minor delays in widget loading","Medium"
"Occasional delays in updates","Medium"
"Right","Other"
"Need details","Other"
"Background process delays","Medium"
"Background sync occasionally lags","Medium"
"Request to add customer feedback tools","Low"
"Need help with account settings","Low"
"Complete absolute operational collapse","High"
"API pagination occasionally slow","Medium"
"Occasional stuttering in table scrolling","Medium"
"Add ability to forecast data","Low"
"Minor delays in collaboration features","Medium"
"Things are improving","Other"
"So close","Other"
"Critical total catastrophic collapse","High"
"Suggestion to add more media tools","Low"
"Psyched","Other"
"Building evacuation due to technical emergency","High"
"Request to add zoom feature","Low"
"Positive signs","Other"
"Background tasks running slow","Medium"
"Request to add FAQ system","Low"
"Critical tornado touching down nearby","High"
"Critical complete worldwide outage","High"
"Great to connect","Other"
"Primary database completely corrupted","High"
"Request to add benchmark comparison","Low"
"Minor delays in form loading","Medium"
"Add option to manage budgets","Low"
"No word yet","Other"
"Active malware spreading across network","High"
"Too","Other"
"Critical robot uprising detected","High"
"Minor delays in encryption operations","Medium"
"Nearly done","Other"
"File uploads occasionally blocked","Medium"
"Hope your day is going well","Other"
"Major total absolute collapse","High"
"Add option to assess risks","Low"
"In the future","Other"
"Request to add lead time tracking","Low"
"Occasional lag in policy enforcement","Medium"
"Suggestion to add more predictions","Low"
"Slow loading of notification settings","Medium"
"Request to add version control","Low"
"Request to add route optimization","Low"
"See you later","Other"
"Suggestion to add more integration options","Low"
"Critical all backup generators failed","High"
"Critical total worldwide emergency","High"
"Suggestion to add more planning tools","Low"
"File uploads occasionally corrupt","Medium"
"Away we go","Other"
"Critical security systems breached","High"
"Add ability to assign tags","Low"
"Outstanding","Other"
"Background operations return empty occasionally","Medium"
"Emergency stateless person declared","High"
"Naturally","Other"
"Cross that bridge when we come to it","Other"
"Minor delays in synchronization","Medium"
"Minor delays in dependency mapping","Medium"
"Two thumbs up","Other"
"Critical global emergency situation","High"
"Overall","Other"
"Request to add support system","Low"
"Who knows when","Other"
"Suggestion to add more access tools","Low"
"Occasional lag in audit queries","Medium"
"Critical nuclear strike detected","High"
"Page load times increased slightly","Medium"
"Long time no see","Other"
"Can't wait","Other"
"Background processes occasionally timeout","Medium"
"Congrats","Other"
"Request to add webhook support","Low"
"Calendar sync delayed","Medium"
"Minor stuttering in animations","Medium"
"API responses occasionally timeout","Medium"
"Occasional delays in form submission","Medium"
"Bear with me","Other"
"Total infrastructure failure","High"
"Stay safe","Other"
"Change font size in dashboard","Low"
"Major critical infrastructure attack","High"
"Critical disaster recovery failure","High"
"Add option to export data","Low"
"Nice work","Other"
"Major constitutional rights suspended","High"
"Nice chatting","Other"
"Critical all monitoring systems down","High"
"Major universal infrastructure failure","High"
"Emergency credibility annihilated","High"
"Critical data integrity issue","High"
"Add option to visualize dependencies","Low"
"Slow form loading","Medium"
"Slow loading of email templates","Medium"
"Background sync occasionally fails","Medium"
"About time","Other"
"Main server overheating and shutting down","High"
"Occasional freezes in security operations","Medium"
"Add option to hide columns","Low"
"Request to add attribution modeling","Low"
"Suggestion to add more WIP features","Low"
"Slow loading of backlog items","Medium"
"Occasional stuttering in media controls","Medium"
"Counting down","Other"
"Critical universal operational failure","High"
"Critical error blocking all users","High"
"File operations occasionally delay","Medium"
"Total system failure across regions","High"
"Occasional delays in chart rendering","Medium"
"Add option to track vehicles","Low"
"Up to you","Other"
"Minor stuttering in roadmap updates","Medium"
"Suggestion to add more views","Low"
"Nonetheless","Other"
"Major emergency critical failure","High"
"What's the latest","Other"
"Slow loading of images","Medium"
"System freeze during transactions","High"
"Need help with profile settings","Low"
"Even so","Other"
"Any developments","Other"
"Critical universal total collapse","High"
"Add option to collect ratings","Low"
"In due course","Other"
"Critical property foreclosed","High"
"Whatever works","Other"
"API calls occasionally fail","Medium"
"Nice to meet you","Other"
"Request to add multi-select option","Low"
"Getting better","Other"
"Major historical records vanishing","High"
"Major reality matrix glitching","High"
"Website loads slowly during peak hours","Medium"
"Delayed push notifications","Medium"
"Light at the end of the tunnel","Other"
"Good job","Other"
"Major catastrophic system failure","High"
"Emergency complete system unavailable","High"
"In any case","Other"
"Loop me in","Other"
"Slow loading of permission data","Medium"
"Add option to export settings","Low"
"Add option to mark favorites","Low"
"Suggestion to add more comparison tools","Low"
"You're so nice","Other"
"Request to improve help page","Low"
"Occasional lag in push delivery","Medium"
"Minor stuttering in API calls","Medium"
"API rate limiting issues","Medium"
"As you wish","Other"
"Minor stuttering in animations","Medium"
"One more thing","Other"
"Major transcendence failed","High"
"Critical absolute operational collapse","High"
"Critical national security threat","High"
"Anyhow","Other"
"Critical complete operational collapse","High"
"Minor animation stutters","Medium"
"Emergency incarceration imminent","High"
"Major complete organizational failure","High"
"Complete universal global failure","High"
"Background jobs running slowly","Medium"
"Background processes occasionally empty","Medium"
"Suggestion to add more analytics","Low"
"You can do it","Other"
"Request to add progress tracking","Low"
"Perfect thanks","Other"
"Happy for you","Other"
"Emergency response system down","High"
"Total financial ruin","High"
"Complete extinction level event","High"
"Minor delays in chart loading","Medium"
"Minor rendering delays","Medium"
"Add ability to flag items","Low"
"Request to add goal tracking","Low"
"Total corporate dissolution","High"
"Request to add time management","Low"
"Occasional stuttering in rendering","Medium"
"Incidentally","Other"
"Chill","Other"
"Emergency infrastructure under attack","High"
"Critical complete system destruction","High"
"I'm okay with that","Other"
"Major global catastrophic collapse","High"
"Minor delays in authentication","Medium"
"Occasional freezes during save","Medium"
"Add ability to switch environments","Low"
"Request to add dependency tracking","Low"
"Promising","Other"
"Been out of the loop","Other"
"Request to add contact management","Low"
"Request to add capacity planning","Low"
"Minor delays in video buffering","Medium"
"PDF generation slow","Medium"
"Emergency toxic exposure risk","High"
"Add contextual menus","Low"
"Dashboard rendering occasionally fails","Medium"
"Add option to mark as read","Low"
"Critical total infrastructure destroyed","High"
"Add option to lock items","Low"
"Occasional stuttering in UI","Medium"
"Minor freezes in interface","Medium"
"How lovely","Other"
"Wonderful","Other"
"Background jobs occasionally freeze","Medium"
"Critical universal global collapse","High"
"Slow table rendering","Medium"
"What's done is done","Other"
"How fortunate","Other"
"Request to add automated workflows","Low"
"Thoughts","Other"
"Now and then","Other"
"In summary","Other"
"Suggestion to add more actions","Low"
"Add inline editing feature","Low"
"Production environment inaccessible","High"
"Try again","Other"
"API calls occasionally blocked","Medium"
"Nice","Other"
"Add option to toggle features","Low"
"Mission-critical application down","High"
"Critical memories being erased","High"
"Backup system failure detected","High"
"Suggestion to add more graphs","Low"
"Any updates","Other"
"Appreciate your time","Other"
"Request to add user migration tools","Low"
"Occasional errors during save","Medium"
"Critical global total breakdown","High"
"Form submissions occasionally rejected","Medium"
"Request to add inline preview","Low"
"Request to add epic tracking","Low"
"Request to add audit logging","Low"
"Occasional lag in data loading","Medium"
"Request to add expand all option","Low"
"Background operations occasionally fail validation","Medium"
"Suggestion to add more conferencing tools","Low"
"WiFi disconnects occasionally","Medium"
"Critical causality violation","High"
"Complete critical operational failure","High"
"Later on","Other"
"Add ability to run retrospectives","Low"
"Occasional lag during video streaming","Medium"
"Add option to pin items","Low"
"Once in a blue moon","Other"
"From time to time","Other"
"Add option to enable team chat","Low"
"Turn the page","Other"
"Major qi flow completely blocked","High"
"Occasional freezes in email composer","Medium"
"Request to add rollback capabilities","Low"
"Need help changing username","Low"
"Customer data exposure risk detected","High"
"Pumped","Other"
"Alright then","Other"
"Add option to track mentions","Low"
"Suggestion to add more presence features","Low"
"API calls occasionally return errors","Medium"
"Request to add custom fields","Low"
"You doing good","Other"
"Critical universal catastrophic collapse","High"
"Add ability to reorder items","Low"
"Request to add comparison view","Low"
"Major erasure from timeline","High"
"Occasional UI delays","Medium"
"Authentication service unavailable","High"
"However","Other"
"Stay strong","Other"
"Critical civil rights revoked","High"
"Emergency home repossessed","High"
"Background sync occasionally delays","Medium"
"Perhaps someday","Other"
"Form fields occasionally unresponsive","Medium"
"Did you have a good day","Other"
"Until next time","Other"
"As of now","Other"
"Dying to know","Other"
"Background operations occasionally timeout","Medium"
"Go on","Other"
"Complete loss of internet connectivity","High"
"Emergency all services failing","High"
"Add ability to track changes","Low"
"Complete critical meltdown occurring","High"
"Minor delays in fetching data","Medium"
"Major livelihood permanently lost","High"
"Occasional freezes in auth flow","Medium"
"Background job queue delayed","Medium"
"Total infrastructure annihilation","High"
"Otherwise","Other"
"Add option to schedule notifications","Low"
"Request to add questionnaire builder","Low"
"Total catastrophic absolute failure","High"
"Thank goodness","Other"
"Suggestion to add more layouts","Low"
"Background tasks occasionally fail","Medium"
"Request to add data export","Low"
"Certainly","Other"
"Yeah so","Other"
"Critical catastrophic global failure","High"
"Periodic delays in responses","Medium"
"Critical infrastructure attack detected","High"
"Add ability to bulk migrate users","Low"
"Major complete catastrophic failure","High"
"Add email notification preference option","Low"
"Request to customize dashboard","Low"
"Complete disconnection from source","High"
"Occasional freezes in analytics","Medium"
"Report generation takes longer","Medium"
"Long story short","Other"
"Infrequently","Other"
"Fair enough","Other"
"Emergency multiverse collision","High"
"Anything else","Other"
"Add option to reset settings","Low"
"All good here","Other"
"Background job occasionally fails","Medium"
"Request to add expense tracking","Low"
"Request to add governance framework","Low"
"Emergency system explosion risk","High"
"Background sync occasionally times out","Medium"
"Back in a flash","Other"
"I want to know","Other"
"Suggestion to add more widgets","Low"
"Complete facility failure","High"
"Slow animation playback","Medium"
"Slow loading of feedback data","Medium"
"Superb","Other"
"Complete catastrophic infrastructure loss","High"
"File downloads occasionally pause","Medium"
"Besides","Other"
"Oh and","Other"
"Request to add tabbed interface","Low"
"How's your day","Other"
"Amped","Other"
"Background operations occasionally interrupted","Medium"
"Minor freezes in API responses","Medium"
"Moderate CPU spikes","Medium"
"API responses occasionally hang","Medium"
"Occasional freezes in dashboard updates","Medium"
"For the most part","Other"
"Add ability to manage user lifecycle","Low"
"Behind us now","Other"
"Fundamentally","Other"
"Suggestion to add more modeling tools","Low"
"Alright so","Other"
"Affectionately","Other"
"Multiple server failures across datacenter","High"
"Complete critical infrastructure loss","High"
"Slow loading of reputation data","Medium"
"Minor stuttering in scroll performance","Medium"
"Minor delays in rendering charts","Medium"
"What's next","Other"
"Me too","Other"
"Critical absolute global collapse","High"
"Just in time","Other"
"Form processing occasionally errors","Medium"
"Know anything","Other"
"Background operations occasionally fail","Medium"
